序号,景区ID,景区名称,评论
0,77593,黄鹤楼,黄鹤楼：中国四大名楼之一，座落在武汉市武昌区武珞路蛇山之巅。相传黄鹤楼始建于三国，至唐代因诗人崔颢的“昔人已乘黄鹤去，此地空余黄鹤楼”而名扬天下。现在矗立在蛇山顶的黄鹤楼是1981年动工复建，1985年建成，为武汉标志性建筑和著名旅游景观，享有“天下江山第一楼”的美誉。
1,77593,黄鹤楼,武汉的标志性景点，历经多次重改建，但雄姿依旧，楼内历代文人墨客的诗词尤为珍贵，黄鹤楼地理位置优越，依山傍水，登上最顶层后，武汉的全貌几乎尽收眼底，大家值得一去！
2,77593,黄鹤楼,黄鹤楼：位于武汉市武昌区长江南岸的蛇山之巅，为国家5A级旅游景区，中国四大名楼之一，武汉地标性建筑与著名旅游景观，与晴川阁、古琴台并称“武汉三大名胜”。
3,77593,黄鹤楼,崔颢在登黄鹤楼时写下了饱含自己怀才不遇、浓浓乡愁的《黄鹤楼》：昔人已乘黄鹤去，此地空余黄鹤楼。黄鹤一去不复返，白云千载空悠悠。晴川历历汉阳树，芳草萋萋鹤踏洲。日暮乡关何处是，烟波江上使人愁”。这首诗让后来登上黄鹤楼的李白感叹：“眼前有景道不得，崔颢题诗在上头”。
4,77593,黄鹤楼,图片九宫格打卡黄鹤楼。一直想来黄鹤楼，终于来了，和我期待和想象中一样。迎着古往今来的黄鹤楼，在长江彼岸迎来送往。我终于和古人同往，内心特别激动，满足了我长久以来的愿望。西门进门特别方便，从东门出去，因为先去了户部巷，我是逆行游览的，感觉更为方便。
5,77593,黄鹤楼,冲着雪糕去的[调皮]&#x0A;&#x0A;武汉之名景点，必须到此一游。提前购票，下午四点多到的，人已经不算太多了，入园前，文创冰棍人手一个，此行目的达到了。&#x0A;&#x0A;园内有电车，可以直达黄鹤楼，楼内是人头攒动的，嘛呀，匆匆忙忙看看，快速逃离，太热了！
6,77593,黄鹤楼,黄鹤楼位于武汉市长江南岸的武昌蛇山峰岭之上，挺拔独秀，为国家&#x20;5A&#x20;级旅游景区，享有&#x20;&amp;quot;天下江山第一楼&amp;quot;、&amp;quot;天下绝景&amp;quot;之称。崔颢的诗&amp;quot;昔人已乘黄鹤去，&#x20;此地空余黄鹤楼。黄鹤一去不复返，白云千载悠悠。晴川历历汉阳树，芳草萋萋鹦鹉洲。日&#x20;暮乡关何处是，烟波江上使人愁。如今武汉已成为国家级特大城市，城市面貌&#x20;日新月异，黄鹤楼作为江南的千古名楼吸引无数游客，成为武汉市的一张亮丽的旅游名片。
7,77593,黄鹤楼,黄鹤楼，位于湖北省武汉市武昌区，地处蛇山之巅，濒临万里长江，为武汉市地标建筑；始建于三国吴黄武二年（223年），历代屡加重修，现存建筑以清代“同治楼”为原型设计，重建于1985年；因唐代诗人崔颢登楼所题《黄鹤楼》一诗而名扬四海。自古有“天下绝景”之美誉，与晴川阁、古琴台并称为“武汉三大名胜”，与湖南岳阳岳阳楼、江西南昌滕王阁并称为“江南三大名楼”，是“武汉十大景”之首、中国古代四大名楼之一、“中国十大历史文化名楼”之一，世称&quot;天下江山第一楼&quot;。
8,77593,黄鹤楼,武汉的地标一看就知道是武汉，武汉是一个十分美丽的城市，站在黄鹤楼上可以看到武汉的发展，武汉的长江大桥，整个景区非常好玩，还有很多其它的景点。
9,77593,黄鹤楼,我去过，威武雅致，气宇不凡。是中国最美楼宇的典范，非常适合闲暇时光仔细欣赏品味，游玩不累但感受颇深。现在增加的夜景秀更加流光溢彩。
